postcode,lad_code,region_code
NG1 5GF,E06000018,E12000004
NG1 7AQ,E06000018,E12000004
NG18 5SX,E07000174,E12000004
NG3 5QY,E07000173,E12000004
NG7 3JL,E06000018,E12000004
NG7 5LR,E06000018,E12000004
NG7 7DA,E06000018,E12000004
NG1 5AE,E06000018,E12000004
NG1 5AQ,E06000018,E12000004
NG1 5BG,E06000018,E12000004
NG18 1QH,E07000174,E12000004
NG18 4XL,E07000174,E12000004
NG3 3BG,E06000018,E12000004
NG3 3BQ,E06000018,E12000004
NG7 6HX,E06000018,E12000004
NG7 7BQ,E06000018,E12000004
NG8 3EG,E06000018,E12000004
NG22 0AH,E07000175,E12000004
NG23 5TE,E07000175,E12000004
NG5 5AW,E06000018,E12000004
NG5 5BP,E06000018,E12000004
S81 0DB,E07000171,E12000004
S81 8TP,E07000171,E12000004
NG7 2TA,E06000018,E12000004
NG15 7SW,E07000170,E12000004
NG15 9BD,E07000173,E12000004
NG23 7NR,E07000175,E12000004
S81 0QF,E07000171,E12000004
NG2 6GJ,E07000176,E12000004
NG2 7BA,E07000176,E12000004
NG2 7NW,E07000176,E12000004
NG21 0HJ,E07000174,E12000004
NG4 1AL,E07000173,E12000004
NG5 1NJ,E06000018,E12000004
LE12 5EH,E07000176,E12000004
LE12 6YL,E07000176,E12000004
NG17 1DG,E07000170,E12000004
NG13 8QX,E07000176,E12000004
NG9 2BD,E07000172,E12000004
NG9 2TG,E07000172,E12000004
NG9 6BU,E07000172,E12000004
S80 1QL,E07000171,E12000004
S81 8HD,E07000171,E12000004
NG12 4JY,E07000176,E12000004
NG2 4RN,E06000018,E12000004
NG2 6AB,E07000176,E12000004
NG5 1EB,E06000018,E12000004
NG18 1BL,E07000174,E12000004
NG1 5DT,E06000018,E12000004
NG1 7HR,E06000018,E12000004
NG24 4QQ,E07000175,E12000004
NG3 4GN,E06000018,E12000004
NG3 5AL,E06000018,E12000004
NG8 3EL,E06000018,E12000004
NG24 2AG,E07000175,E12000004
NG12 3DL,E07000176,E12000004
NG13 8BJ,E07000176,E12000004
NG2 6AU,E07000176,E12000004
NG2 7AL,E07000176,E12000004
NG20 0JD,E07000174,E12000004
NG9 6JE,E07000172,E12000004
LE12 6PD,E07000176,E12000004
NG17 2HU,E07000170,E12000004
NG17 8AS,E07000170,E12000004
NG25 0QU,E07000175,E12000004
NG5 7EJ,E07000173,E12000004
NG5 7JL,E07000173,E12000004
NG5 7LT,E07000173,E12000004
NG6 0EL,E06000018,E12000004
S80 2FT,E07000171,E12000004
NG18 3ER,E07000174,E12000004
NG18 5AS,E07000174,E12000004
NG24 3WF,E07000175,E12000004
NG3 5DF,E06000018,E12000004
NG16 3PA,E07000172,E12000004
NG18 4AY,E07000174,E12000004
NG24 2TW,E07000175,E12000004
S80 2HF,E07000171,E12000004
NG21 9DD,E07000175,E12000004
NG22 0QW,E07000171,E12000004
NG9 7AS,E07000172,E12000004
NG1 1HS,E06000018,E12000004
NG1 5FS,E06000018,E12000004
NG21 9AT,E07000175,E12000004
NG24 1NW,E07000175,E12000004
NG4 1JL,E07000173,E12000004
NG5 1FY,E06000018,E12000004
NG9 2TB,E07000172,E12000004
NG9 3AF,E07000172,E12000004
NG9 6HJ,E07000172,E12000004
NG9 7AA,E07000172,E12000004
NG12 5QW,E07000176,E12000004
NG7 5AB,E06000018,E12000004
NG7 6LB,E06000018,E12000004
S81 8HT,E07000171,E12000004
NG14 5DN,E07000173,E12000004
NG15 9HG,E07000173,E12000004
NG16 2FB,E07000172,E12000004
NG16 2LP,E07000172,E12000004
NG19 7GN,E07000174,E12000004
LE12 6XE,E07000176,E12000004
NG1 3BY,E06000018,E12000004
NG1 5AL,E06000018,E12000004
NG1 6DD,E06000018,E12000004
NG17 7DT,E07000170,E12000004
NG5 1DW,E06000018,E12000004
NG9 2NX,E07000172,E12000004
NG1 1DS,E06000018,E12000004
NG1 6JE,E06000018,E12000004
NG24 1LF,E07000175,E12000004
NG5 1AD,E06000018,E12000004
NG5 2EY,E06000018,E12000004
NG9 5NZ,E07000172,E12000004
NG12 4BW,E07000176,E12000004
NG13 8PJ,E07000176,E12000004
NG8 2DT,E06000018,E12000004
NG8 4PP,E06000018,E12000004
NG9 6DZ,E07000172,E12000004
NG9 7AZ,E07000172,E12000004
NG11 8TB,E06000018,E12000004
NG12 2FP,E07000176,E12000004
NG2 7UA,E07000176,E12000004
NG8 3LJ,E06000018,E12000004
NG11 6NR,E07000176,E12000004
NG12 2LE,E07000176,E12000004
NG8 1AS,E06000018,E12000004
NG12 3LP,E07000176,E12000004
NG12 4AP,E07000176,E12000004
NG18 2RL,E07000174,E12000004
NG19 0LN,E07000175,E12000004
NG3 3PG,E06000018,E12000004
NG5 8FS,E07000173,E12000004
NG6 8PP,E06000018,E12000004
NG15 9DH,E07000173,E12000004
NG16 1FL,E07000172,E12000004
NG16 2FT,E07000172,E12000004
NG4 1GP,E07000173,E12000004
NG4 3AS,E07000173,E12000004
NG5 1HE,E06000018,E12000004
NG9 5BQ,E07000172,E12000004
NG19 7EH,E07000174,E12000004
NG5 2JL,E06000018,E12000004
NG5 1FS,E06000018,E12000004
NG12 3EL,E07000176,E12000004
NG13 8AP,E07000176,E12000004
NG3 1GF,E06000018,E12000004
NG3 3PR,E06000018,E12000004
NG6 9AX,E06000018,E12000004
S81 0SA,E07000171,E12000004
NG5 1JG,E06000018,E12000004
NG5 2EL,E06000018,E12000004
NG9 3PU,E07000172,E12000004
NG11 6NJ,E07000176,E12000004
NG12 5QQ,E07000176,E12000004
NG3 2AX,E06000018,E12000004
NG5 9RA,E06000018,E12000004
NG15 9GW,E07000173,E12000004
NG4 3HQ,E07000173,E12000004
NG1 1PZ,E06000018,E12000004
NG1 3AL,E06000018,E12000004
NG18 1HQ,E07000174,E12000004
NG21 9JD,E07000175,E12000004
NG22 0LU,E07000171,E12000004
NG23 7DG,E07000175,E12000004
NG7 3FX,E06000018,E12000004
NG7 3NA,E06000018,E12000004
NG7 5FU,E06000018,E12000004
NG8 4GW,E06000018,E12000004
NG20 0SF,E07000174,E12000004
S80 2EA,E07000171,E12000004
NG11 0LH,E07000176,E12000004
NG17 2DF,E07000170,E12000004
NG17 2DY,E07000170,E12000004
NG18 1AX,E07000174,E12000004
NG7 2SZ,E06000018,E12000004
NG7 7AJ,E06000018,E12000004
NG2 4DF,E06000018,E12000004
NG2 7HH,E07000176,E12000004
NG20 0JW,E07000174,E12000004
NG17 2AA,E07000170,E12000004
NG8 6ET,E06000018,E12000004
NG22 9EX,E07000175,E12000004
NG23 7LL,E07000175,E12000004
NG24 2EL,E07000175,E12000004
NG8 6AF,E06000018,E12000004
NG2 1HJ,E06000018,E12000004
NG21 0PP,E07000175,E12000004
NG12 5ED,E07000176,E12000004
NG2 4FR,E06000018,E12000004
NG2 6JE,E07000176,E12000004
NG18 1NG,E07000174,E12000004
NG22 9BS,E07000175,E12000004
NG8 5FU,E06000018,E12000004
NG12 5HN,E07000176,E12000004
NG13 8FB,E07000176,E12000004
NG2 3GY,E06000018,E12000004
NG2 6DD,E07000176,E12000004
NG2 7JT,E07000176,E12000004
NG4 1AQ,E07000173,E12000004
NG4 3BP,E07000173,E12000004
NG9 5LD,E07000172,E12000004
NG1 1LL,E06000018,E12000004
NG8 5JQ,E06000018,E12000004
NG13 9LA,E07000176,E12000004
NG2 6EP,E07000176,E12000004
NG4 1FN,E07000173,E12000004
NG5 1EF,E06000018,E12000004
NG5 1FD,E06000018,E12000004
NG17 7LJ,E07000170,E12000004
NG7 2PD,E06000018,E12000004
S81 7HN,E07000171,E12000004
NG13 8QD,E07000176,E12000004
NG13 8YE,E07000176,E12000004
NG2 6PQ,E07000176,E12000004
NG4 1RS,E07000173,E12000004
NG9 1GL,E07000172,E12000004
NG9 3BA,E07000172,E12000004
LE12 6PF,E07000176,E12000004
LE12 6YS,E07000176,E12000004
NG17 4BS,E07000170,E12000004
NG17 8LB,E07000170,E12000004
NG14 6JQ,E07000173,E12000004
NG19 8BA,E07000174,E12000004
NG24 3GH,E07000175,E12000004
NG3 3LJ,E06000018,E12000004
NG3 7BE,E06000018,E12000004
NG5 8PG,E07000173,E12000004
NG14 7GS,E07000175,E12000004
NG15 0BL,E07000173,E12000004
NG19 7AY,E07000174,E12000004
NG19 9BG,E07000174,E12000004
NG25 0UN,E07000175,E12000004
NG3 5DS,E06000018,E12000004
NG6 0LY,E06000018,E12000004
NG6 9FJ,E06000018,E12000004
S80 1PD,E07000171,E12000004
NG15 9GR,E07000173,E12000004
NG18 5LW,E07000174,E12000004
NG6 9JF,E06000018,E12000004
NG3 2GY,E06000018,E12000004
NG5 3DT,E06000018,E12000004
NG6 8DX,E06000018,E12000004
NG14 6LT,E07000173,E12000004
